"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Jeff Green",3000,"CLE@BKN 10/25/2017 07:30PM ET",10.167,"CLE"
"PF/C","Ante Zizic",3000,"CLE@BKN 10/25/2017 07:30PM ET",13.000,"CLE"
"SG/SF","Cedi Osman",3000,"CLE@BKN 10/25/2017 07:30PM ET",0.750,"CLE"
"PG/SG","Isaiah Whitehead",3000,"CLE@BKN 10/25/2017 07:30PM ET",0,"BKN"
"PG","Jacob Wiley",3000,"CLE@BKN 10/25/2017 07:30PM ET",0,"BKN"
"SG","Yakuba Ouattara",3000,"CLE@BKN 10/25/2017 07:30PM ET",0,"BKN"
"PF/C","Quincy Acy",3000,"CLE@BKN 10/25/2017 07:30PM ET",9.167,"BKN"
"C","Tyler Zeller",3000,"CLE@BKN 10/25/2017 07:30PM ET",0,"BKN"
"PG","Monte Morris",3000,"DEN@CHA 10/25/2017 07:00PM ET",0,"DEN"
"PF","Darrell Arthur",3000,"DEN@CHA 10/25/2017 07:00PM ET",0,"DEN"
"SF/PF","Trey Lyles",3000,"DEN@CHA 10/25/2017 07:00PM ET",4.000,"DEN"
"SG/SF","Torrey Craig",3000,"DEN@CHA 10/25/2017 07:00PM ET",0,"DEN"
"PF","Tyler Lydon",3000,"DEN@CHA 10/25/2017 07:00PM ET",0,"DEN"
